sampleID	sampleid_orig	sampleid_replaced	plant	inoculum	ino	substrate
BNC10.1_1	A81	A001	Babushka	1	10-1	Chitin
BNC10.1_2	A82	A002	Babushka	1	10-1	Chitin
BNC10.1_3	A83	A003	Babushka	1	10-1	Chitin
BNC10.3_1	A86	A004	Babushka	1	10-1	Chitin
BNC10.3_2	A87	A005	Babushka	3	10-3	Chitin
BNC10.3_3	A88	A006	Babushka	3	10-3	Chitin
BNC10.5_1	A92	A007	Babushka	5	10-5	Chitin
BAF10.1_1	A106	A016	Babushka	1	10-1	Mineral fertilizer
BAF10.1_2	A107	A017	Babushka	1	10-1	Mineral fertilizer
BAF10.1_3	A109	A018	Babushka	1	10-1	Mineral fertilizer
BAF10.3_1	A111	A019	Babushka	3	10-3	Mineral fertilizer
BAF10.3_2	A113	A020	Babushka	3	10-3	Mineral fertilizer
BAF10.3_3	A114	A021	Babushka	3	10-3	Mineral fertilizer
BAF10.7_1	A122	A025	Babushka	7	10-7	Mineral fertilizer
BAF10.7_3	A125	A027	Babushka	7	10-7	Mineral fertilizer
BAF.no_1	A127	A028	Babushka	9	no. ino	Mineral fertilizer
BAF.no_2	A128	A029	Babushka	9	no. ino	Mineral fertilizer
BAF.no_3	A129	A030	Babushka	9	no. ino	Mineral fertilizer
RNC10.1_1	A212	A046	RGT	1	10-1	Chitin
RNC10.1_2	A213	A047	RGT	1	10-1	Chitin
RNC10.1_3	A214	A048	RGT	1	10-1	Chitin
RNC10.3_1	A217	A049	RGT	3	10-3	Chitin
RNC10.3_2	A219	A050	RGT	3	10-3	Chitin
RNC10.3_3	A220	A051	RGT	3	10-3	Chitin
RNC10.5_3	A225	A054	RGT	5	10-5	Chitin
RNC10.7_2	A228	A056	RGT	7	10-7	Chitin
RNC10.7_3	A229	A057	RGT	7	10-7	Chitin
RNC.no_1	A231	A058	RGT	9	no. ino	Chitin
RAF10.1_1	A237	A061	RGT	1	10-1	Mineral fertilizer
RAF10.1_2	A238	A062	RGT	1	10-1	Mineral fertilizer
RAF10.1_3	A240	A063	RGT	1	10-1	Mineral fertilizer
RAF10.3_1	A241	A064	RGT	3	10-3	Mineral fertilizer
RAF10.3_2	A242	A065	RGT	3	10-3	Mineral fertilizer
RAF10.3_3	A244	A066	RGT	3	10-3	Mineral fertilizer
RAF10.5_1	A247	A067	RGT	5	10-5	Mineral fertilizer
RAF10.7_1	A251	A070	RGT	7	10-7	Mineral fertilizer
RAF10.7_2	A252	A071	RGT	7	10-7	Mineral fertilizer
RAF10.7_3	A254	A072	RGT	7	10-7	Mineral fertilizer
RAF.no_2	A258	A074	RGT	9	no. ino	Mineral fertilizer
RAF.no_3	A260	A075	RGT	9	no. ino	Mineral fertilizer
